# ----------------------------------------
# Classplay
# Caminhos de página-Formato livre 1
# 20250802-20250831
# ----------------------------------------

Título da página,Caminho da página e classe da tela,Visualizações,Usuários ativos,Tempo médio de engajamento por sessão,Contagem de eventos
Editar seção: Entenda como a IA Generativa impacta o marketing e explore os principais modelos de linguagem e ferramentas de texto. | BASICOMKT-FREE | Classplay,/course/editsection.php,1,1,13,4
Editar seção: Entenda como a IA Generativa impacta o marketing e explore os principais modelos de linguagem e ferramentas de texto. | MINI-BASICOMKT-FREE | Classplay,/course/editsection.php,1,1,0,4
Editar seção: Introdução à Inteligência Artificial (Freemium) | TEMPLOFRE.0125T1 | Classplay,/course/editsection.php,1,1,28,5
Editar seção: MÓDULO 1 - Texto e IA Generativa | TEMPLO.FCA | Classplay,/course/editsection.php,1,1,1,2
Editar seção: Módulo 1 - Fundamentos e Desenvolvimento de Agentes | MundoAgents | Classplay,/course/editsection.php,1,1,1,4
Editar seção: Módulo 1 - Introdução à IA Generativa | IA-Advogados | Classplay,/course/editsection.php,1,1,1,5
Editar seção: Módulo 1 | IAG-MKTDigital | Classplay,/course/editsection.php,1,1,1,4
Editar seção: Módulo 2 - Criando e Aperfeiçoando Agentes | MundoAgents | Classplay,/course/editsection.php,1,1,1,4
Editar seção: Módulo 2 - Explorando as capacidades do ChatGPT | MINI-DADOS | Classplay,/course/editsection.php,1,1,0,4
Editar seção: Módulo 3 - Criação de Assistentes IA para Advogados | IA-Advogados | Classplay,/course/editsection.php,1,1,1,5
Editar seção: Módulo 3 - Em Busca do Prompt Perfeito | MINI-PROMPTS | Classplay,/course/editsection.php,1,1,2,4
Editar seção: Módulo 3 - Workflows de Agentes | MundoAgents | Classplay,/course/editsection.php,1,1,0,4
Editar seção: Módulo 4 - Agentes Avançados: Integração com Ferramentas Externas | MundoAgents | Classplay,/course/editsection.php,1,1,5,4
Editar seção: Módulo 4 - Personalização de Estratégias com IA Generativa | IAG-MKTDigital | Classplay,/course/editsection.php,1,1,1,5
Editar seção: Módulo 5 - Casos de Uso com Imagens | IAG-MKTDigital | Classplay,/course/editsection.php,1,1,2,5
"Editar seção: Módulo 5 - Integração, Aplicação e Casos de Sucesso | MundoAgents | Classplay",/course/editsection.php,1,1,0,4
Editar seção: Nossas boas-vindas ao curso! | BASICOMKT-FREE | Classplay,/course/editsection.php,1,1,0,4
Editar seção: Nossas boas-vindas ao curso! | IAADV-FREE | Classplay,/course/editsection.php,1,1,1,5
Editar seção: Nossas boas-vindas ao curso! | IAGMKT-FREE | Classplay,/course/editsection.php,1,1,0,4
Editar seção: Nossas boas-vindas ao curso! | IMGMVIDEO-FREE | Classplay,/course/editsection.php,1,1,0,4
Editar seção: Se Preparando para a IA: Habilidades Necessárias | IA-Advogados | Classplay,/course/editsection.php,1,1,1,5
Editar seção: Seção 1 | MundoAgents Freemium | Classplay,/course/editsection.php,1,1,4,3
Editar seção: Seção 2 | LLMS | Classplay,/course/editsection.php,1,1,15,4
Editar seção: Site | Classplay | Classplay,/course/editsection.php,1,1,0,1
Editar seção: TESTE 3 | MINI.BRANDING-FREE | Classplay,/course/editsection.php,1,1,4,3
Editar seção: Use ferramentas de IA para produzir imagens e vídeos do zero. | MINI-IMAGEMVIDEO-FREE_1 | Classplay,/course/editsection.php,1,1,1,4
Editar seção: Workflow - Do Tom de Voz à Postagem. | MundoAgents | Classplay,/course/editsection.php,1,1,4,3
Editar Área de texto e mídia: A IA e o Futuro da Produtividade: Uma Visão Transformadora | IntroIAG | Classplay,/course/modedit.php,1,1,2,5
"Editar Área de texto e mídia: A IA é uma ferramenta poderosa para advogados, mas... | IA-Advogados | Classplay",/course/modedit.php,1,1,2,5
Editar Área de texto e mídia: Ampliando Horizontes: interagindo com Agentes nativos do Google Gemini | MundoAgents | Classplay,/course/modedit.php,1,1,3,4
Editar Área de texto e mídia: Ampliando Horizontes: interagindo com agents nativos do Google Gemini | MundoAgents | Classplay,/course/modedit.php,1,1,6,4
Editar Área de texto e mídia: Aplicando Framework de Agents | IntroIAG | Classplay,/course/modedit.php,1,1,0,4
Editar Área de texto e mídia: Aplicando Framework de Agents | MundoAgents Freemium | Classplay,/course/modedit.php,1,1,14,5
Editar Área de texto e mídia: Aplicação: Como extrair o seu tom de voz e aplicar ao seu agente | MundoAgents | Classplay,/course/modedit.php,1,1,5,5
"Editar Área de texto e mídia: Aplicação: utilizando o seu Agente para criar planejamento, imagens e posts | MundoAgents | Classplay",/course/modedit.php,1,1,2,4
Editar Área de texto e mídia: Aprenda a escolher a ferramenta certa para cada de... | MINI-BASICOMKT | Classplay,/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: Aprenda como transformar dados brutos em insights ... | MINI-DADOS | Classplay,/course/modedit.php,1,1,3,4
"Editar Área de texto e mídia: Aprenda modelos de monetização, formas de atuação,... | MINI-BASICOMKT | Classplay",/course/modedit.php,1,1,2,4
Editar Área de texto e mídia: Aprendendo a aprender com o ChatGPT | IntroIAG | Classplay,/course/modedit.php,1,1,9,5
Editar Área de texto e mídia: Aprofundando no Magic Design do Canva | MINI-IMAGEMVIDEO | Classplay,/course/modedit.php,1,1,7,5
Editar Área de texto e mídia: Assistentes de IA: O que é Open-Source e Close-Source | IA-Advogados | Classplay,/course/modedit.php,1,1,2,5
Editar Área de texto e mídia: Aula 1 - Fundamentos da IA Generativa no Direito | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,3,5
Editar Área de texto e mídia: Aula 1 | TEMPLO.FCA | Classplay,/course/modedit.php,1,1,3,4
Editar Área de texto e mídia: Aula 1: Engenharia de Prompts e Personalização no Uso da IA | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,1,5
Editar Área de texto e mídia: Aula 1: Estratégias para Implementação da IA no Direito | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,3,5
Editar Área de texto e mídia: Aula 1: IA na Produção e Revisão de Documentos Jurídicos | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,1,5
Editar Área de texto e mídia: Aula 2: Automação de Fluxos de Trabalho Jurídico com IA | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,1,5
Editar Área de texto e mídia: Aula 2: Ferramentas de IA Aplicadas ao Direito | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,2,5
Editar Área de texto e mídia: Casos de Uso: O que os criativos no mundo estão elaborando com AI | MINI-IMAGEMVIDEO | Classplay,/course/modedit.php,1,1,0,4
"Editar Área de texto e mídia: Como a IA pode ajudar a criar textos, imagens e processar dados | IAG-MKTDigital | Classplay",/course/modedit.php,1,1,5,2
"Editar Área de texto e mídia: Como a IA pode ajudar a criar textos, imagens e processar dados | IAG-MKTDigital. Freemium | Classplay",/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: Como a IA pode ajudar a fazer as principais atividades do marketing digital | MINI-BASICOMKT | Classplay,/course/modedit.php,1,1,2,4
Editar Área de texto e mídia: Como estudar? | MundoAgents Freemium | Classplay,/course/modedit.php,1,1,0,4
Editar Área de texto e mídia: Como funciona a interface do ChatGPT? | IA-Advogados | Classplay,/course/modedit.php,1,1,1,5
Editar Área de texto e mídia: Como utilizar You.com e Perplexity para pesquisas? | IA-Advogados | Classplay,/course/modedit.php,1,1,2,5
Editar Área de texto e mídia: Conclusão: Tendências e Futuro da IA no Direito | IA-Advogados | Classplay,/course/modedit.php,1,1,6,5
Editar Área de texto e mídia: Conexão Avançada: Integração de Agentes com o seu Gmail | MundoAgents | Classplay,/course/modedit.php,1,1,3,4
Editar Área de texto e mídia: Conexão Avançada: Integração de Agents com o seu Gmail | MundoAgents | Classplay,/course/modedit.php,1,1,4,4
Editar Área de texto e mídia: Conheça as técnicas existentes | MINI-IMAGEMVIDEO | Classplay,/course/modedit.php,1,1,0,4
"Editar Área de texto e mídia: Contexto, Personas e System Roles em prompts | IAG-MKTDigital | Classplay",/course/modedit.php,1,1,2.5,2
"Editar Área de texto e mídia: Contexto, Personas e System Roles em prompts | IAG-MKTDigital. Freemium | Classplay",/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: Criando Apresentações em Vídeo utilizando AI | MINI-IMAGEMVIDEO | Classplay,/course/modedit.php,1,1,0,4
Editar Área de texto e mídia: Criando consistência de tom de voz e estilo para a sua marca com Custom Instructions | MINI-BRANDING | Classplay,/course/modedit.php,1,1,6,4
Editar Área de texto e mídia: Descobrindo Agentes: Arquitetura e Aplicações | MundoAgents | Classplay,/course/modedit.php,1,1,5,5
Editar Área de texto e mídia: Descubra como a IA generativa está remodelando o u... | MINI-BASICOMKT | Classplay,/course/modedit.php,1,1,2,4
Editar Área de texto e mídia: Descubra o Mundo dos Agents! | MundoAgents Freemium | Classplay,/course/modedit.php,1,1,0,4
Editar Área de texto e mídia: Descubra o Mundo dos Agents! | MundoAgents | Classplay,/course/modedit.php,1,1,3,4
Editar Área de texto e mídia: Descubra o que você vai encontrar nos 5 módulos do... | IAG-MKTDigital. Freemium | Classplay,/course/modedit.php,1,1,2,4
Editar Área de texto e mídia: Desenvolva estratégias personalizadas com IA Generativa | OPMARKETING | Classplay,/course/modedit.php,1,1,4,3
"Editar Área de texto e mídia: Desenvolvimento de Assistentes de IA para Tarefas Jurídicas Específicas: Criando seu GPT, primeiros passos | IA-Advogados | Classplay",/course/modedit.php,1,1,2,5
Editar Área de texto e mídia: Design de Apresentações em Segundos: IA como Sua Nova Ferramenta de Design | IntroIAG | Classplay,/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: Desvendando os Mistérios da IA Generativa - Parte 2 | IntroIAG | Classplay,/course/modedit.php,1,1,7,5
Editar Área de texto e mídia: Em Busca do Prompt Perfeito | MINI-PROMPTS | Classplay,/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: Estilos e Parâmetros em Imagens | MINI-IMAGEMVIDEO | Classplay,/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: Estudos de caso: Ferramentas de automatização de Agentes | MundoAgents | Classplay,/course/modedit.php,1,1,5,5
Editar Área de texto e mídia: Estudos de caso: Ferramentas de automatização de Agents | MundoAgents | Classplay,/course/modedit.php,1,1,3,4
Editar Área de texto e mídia: Estudos de caso: Tendências de futuro no universo dos Agents | MundoAgents | Classplay,/course/modedit.php,1,1,4,4
Editar Área de texto e mídia: Evoluindo Seu Agent: Framework de Criação de Agents | IntroIAG | Classplay,/course/modedit.php,1,1,1,5
Editar Área de texto e mídia: Evoluindo Seu Agent: Integrando com o seu Google Agenda (Parte 1) | MundoAgents | Classplay,/course/modedit.php,1,1,8,5
Editar Área de texto e mídia: Evoluindo Seu Agent: Integrando com o seu Google Agenda (Parte 2) | MundoAgents | Classplay,/course/modedit.php,1,1,4,4
Editar Área de texto e mídia: Evoluindo Seu Agente: Integrando com o seu Google Agenda - Parte 1 | MundoAgents | Classplay,/course/modedit.php,1,1,3,4
Editar Área de texto e mídia: Evoluindo Seu Agente: Integrando com o seu Google Agenda - Parte 2 | MundoAgents | Classplay,/course/modedit.php,1,1,2,4
Editar Área de texto e mídia: Evoluindo Seu Agente: Integrando com o seu Google Agenda | MundoAgents | Classplay,/course/modedit.php,1,1,2,4
Editar Área de texto e mídia: Execução de IA: Práticas Seguras e Privadas | IA-Advogados | Classplay,/course/modedit.php,1,1,2,5
Editar Área de texto e mídia: Explore como empresas renomadas estão implementand... | MINI-BRANDING | Classplay,/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: Ferramentas de IA para Advogados: Análise de documentação | IA-Advogados | Classplay,/course/modedit.php,1,1,3,5
Editar Área de texto e mídia: Ferramentas de IA: Introdução e Visão Geral | IA-Advogados | Classplay,/course/modedit.php,1,1,1,5
Editar Área de texto e mídia: Fireflies e Tactiq | IntroIAG | Classplay,/course/modedit.php,1,1,10,4
Editar Área de texto e mídia: Gemini e Google AI Studio | IntroIAG | Classplay,/course/modedit.php,1,1,1,5
"Editar Área de texto e mídia: Gerando Posts a Partir de Imagens, Memes, Trends e Links com Bing | MINI-IMAGEMVIDEO | Classplay",/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: Gerando para Social Media | MINI-IMAGEMVIDEO | Classplay,/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: Geração de Vídeos a Partir de Textos | MINI-IMAGEMVIDEO | Classplay,/course/modedit.php,1,1,5,4
Editar Área de texto e mídia: Gerenciamento de Tarefas: Automação e Eficiência | IA-Advogados | Classplay,/course/modedit.php,1,1,3,5
Editar Área de texto e mídia: Gerenciamento de Tempo com IA: Automatizando rotinas | IntroIAG | Classplay,/course/modedit.php,1,1,0,4
Editar Área de texto e mídia: Hora de começar! | IAG-MKTDigital | Classplay,/course/modedit.php,1,1,3,2
Editar Área de texto e mídia: Hora de começar! | IAG-MKTDigital. Freemium | Classplay,/course/modedit.php,1,1,2,4
Editar Área de texto e mídia: IA e o Futuro do Direito: O que esperar? | IA-Advogados | Classplay,/course/modedit.php,1,1,1,5
Editar Área de texto e mídia: IA em Due Diligence: Práticas Eficazes | IA-Advogados | Classplay,/course/modedit.php,1,1,2,5
Editar Área de texto e mídia: IA no Comando: Revolucionando o Gerenciamento de Projetos | IntroIAG | Classplay,/course/modedit.php,1,1,2,4
"Editar Área de texto e mídia: IA, Criatividade e Inovação | IntroIAG | Classplay",/course/modedit.php,1,1,0,4
Editar Área de texto e mídia: Integração de Ferramentas: Maximizando a Eficiência | IA-Advogados | Classplay,/course/modedit.php,1,1,2,5
Editar Área de texto e mídia: Inteligência Artificial: O Hype e a Realidade | IAG-MKTDigital | Classplay,/course/modedit.php,1,1,11,2
Editar Área de texto e mídia: Introdução à IA Generativa e Modelos de Linguagem | TEMPLO.FCA | Classplay,/course/modedit.php,1,1,0,4
Editar Área de texto e mídia: LLMs Decifrados: A Ciência por Trás dos Modelos de Texto | IntroIAG | Classplay,/course/modedit.php,1,1,2,4
Editar Área de texto e mídia: Materiais complementares | IAG-MKTDigital. Freemium | Classplay,/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: Melhorando a Pesquisa: Ferramentas Inteligentes | IA-Advogados | Classplay,/course/modedit.php,1,1,3,5
Editar Área de texto e mídia: Mensagem do professor Caio sobre este conteúdo. | IA-Advogados | Classplay,/course/modedit.php,1,1,3,5
"Editar Área de texto e mídia: Meta Prompts e Prompts Recursivos (COT, TOT) | MINI-PROMPTS | Classplay",/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: Mãos à Obra: Construindo Seu Primeiro Agent - Parte 1 | IntroIAG | Classplay,/course/modedit.php,1,1,6,4
Editar Área de texto e mídia: Mãos à Obra: Construindo Seu Primeiro Agent - Parte 2 | AGENTS-FREEMIUM | Classplay,/course/modedit.php,1,1,10,2
Editar Área de texto e mídia: Mãos à Obra: Construindo Seu Primeiro Agent - Parte 2 | IntroIAG | Classplay,/course/modedit.php,1,1,9,4
Editar Área de texto e mídia: Mãos à Obra: Construindo Seu Primeiro Agent - Parte 2 | MundoAgents Freemium | Classplay,/course/modedit.php,1,1,15,7
Editar Área de texto e mídia: Mãos à Obra: Construindo Seu Primeiro Agent | IntroIAG | Classplay,/course/modedit.php,1,1,0,4
Editar Área de texto e mídia: Mãos à Obra: Construindo Seu Primeiro Agente - Parte 1 | MundoAgents | Classplay,/course/modedit.php,1,1,2,4
Editar Área de texto e mídia: Mãos à Obra: Construindo Seu Primeiro Agente - Parte 2 | MundoAgents | Classplay,/course/modedit.php,1,1,4,4
Editar Área de texto e mídia: Mãos à Obra: Evoluindo Seu Agente - Parte 3 | MundoAgents | Classplay,/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: NotebookLM - RAG: Como conversar com seus documentos | IA-Advogados | Classplay,/course/modedit.php,1,1,1,5
Editar Área de texto e mídia: O que são prompts? Segredos que ninguém te conta! | IAG-MKTDigital | Classplay,/course/modedit.php,1,1,5,2
Editar Área de texto e mídia: O que é IA Generativa? | MINI-BASICOMKT | Classplay,/course/modedit.php,1,1,1,4
"Editar Área de texto e mídia: Os diferentes motores de texto na IA: Perplexity, BING, GPT, BARD | IAG-MKTDigital | Classplay",/course/modedit.php,1,1,4,2
"Editar Área de texto e mídia: Os diferentes motores de texto na IA: Perplexity, BING, GPT, BARD | IAG-MKTDigital. Freemium | Classplay",/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: Parte 2: Prompts Avançados e Recursivos | IntroIAG | Classplay,/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: Parte 3: Personas e System Roles | IntroIAG | Classplay,/course/modedit.php,1,1,5,5
Editar Área de texto e mídia: Parte I: Fundamentos e Princípios | IntroIAG | Classplay,/course/modedit.php,1,1,4,5
Editar Área de texto e mídia: Personas e System Roles | IntroIAG | Classplay,/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: Possibilidades e Usos | IntroIAG | Classplay,/course/modedit.php,1,1,2,5
Editar Área de texto e mídia: Produtividade com IA: Casos de Uso e Análise Efeitos | IAG-MKTDigital | Classplay,/course/modedit.php,1,1,4,2
Editar Área de texto e mídia: Prompts Avançados e Contexto | MINI-PROMPTS | Classplay,/course/modedit.php,1,1,2,4
Editar Área de texto e mídia: Q&A - IA Generativa e Regulação Jurídica | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,1,5
Editar Área de texto e mídia: Q&A: Ferramentas e Estratégias com IA no Direito | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,6,5
Editar Área de texto e mídia: Q&A: IA na Automação Jurídica | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,3,5
Editar Área de texto e mídia: Quer acessar esse curso e aprender tudo sobre os a... | AGENTS-FREE | Classplay,/course/modedit.php,1,1,12,5
"Editar Área de texto e mídia: Revisão, desdobramento e versionamento de textos, posts, e-mails | OPMARKETING | Classplay",/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: Se Preparando para a IA: Habilidades Necessárias | IA-Advogados | Classplay,/course/modedit.php,1,1,2,5
Editar Área de texto e mídia: Tratamento e modificação de imagens com Adobe Firefly | MINI-IMAGEMVIDEO | Classplay,/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: Usando IA Na aula de hoje: desafios e soluções no ... | TEMPLO.FCA | Classplay,/course/modedit.php,1,1,13,4
Editar Área de texto e mídia: Uso de IA em equipes jurídicas | IA-Advogados | Classplay,/course/modedit.php,1,1,2,5
"Editar Área de texto e mídia: Utilize IA para criar conteúdos, segmentar mídia e... | OPMKT-FREE | Classplay",/course/modedit.php,1,1,1,4
"Editar Área de texto e mídia: Veja o recado que o Caio, nosso professor, deixou para você. | IA-Advogados | Classplay",/course/modedit.php,1,1,16,5
Editar Área de texto e mídia: [DANNEMANN] Masterclass: Transformação Digital no Direito com IA Generativa | DANNEMANNIA .0225T1 | Classplay,/course/modedit.php,1,1,4,5
Editar Área de texto e mídia: aaaaa | TEMPLO2FR.0125T1 | Classplay,/course/modedit.php,1,1,1,4
Editar Área de texto e mídia: https://www.youtube.com/watch?v=dQw4w9WgXcQ | TEMPLOFRE.0125T1 | Classplay,/course/modedit.php,1,1,6,4
Editar Área de texto e mídia: label442 | TEMPLO2FR.0125T1 | Classplay,/course/modedit.php,1,1,3,4
Editar Área de texto e mídia: label447 | IAG-MKTDigital. Freemium | Classplay,/course/modedit.php,1,1,3,4
Editar Área de texto e mídia: label449 | IAG-MKTDigital. Freemium | Classplay,/course/modedit.php,1,1,36,4
Editar Área de texto e mídia: label450 | IAG-MKTDigital. Freemium | Classplay,/course/modedit.php,1,1,4,4
Editar Área de texto e mídia: label451 | IAG-MKTDigital. Freemium | Classplay,/course/modedit.php,1,1,10,5
Editar Área de texto e mídia: label452 | IAG-MKTDigital. Freemium | Classplay,/course/modedit.php,1,1,3,4
Editar Área de texto e mídia: label453 | IAG-MKTDigital. Freemium | Classplay,/course/modedit.php,1,1,9,5
Editar Área de texto e mídia: label454 | IAG-MKTDigital. Freemium | Classplay,/course/modedit.php,1,1,6,5
Editar Área de texto e mídia: label455 | IAG-MKTDigital. Freemium | Classplay,/course/modedit.php,1,1,5,5
Editar Área de texto e mídia: label456 | IAG-MKTDigital. Freemium | Classplay,/course/modedit.php,1,1,7,5
Editar Área de texto e mídia: label487 | MundoAgents Freemium | Classplay,/course/modedit.php,1,1,5,5
Editar Área de texto e mídia: label488 | MundoAgents Freemium | Classplay,/course/modedit.php,1,1,5,4
Editar Área de texto e mídia: label489 | MundoAgents Freemium | Classplay,/course/modedit.php,1,1,6,5
Editar Área de texto e mídia: label490 | MundoAgents Freemium | Classplay,/course/modedit.php,1,1,13,6
Editar Área de texto e mídia: label492 | MundoAgents Freemium | Classplay,/course/modedit.php,1,1,18,6
Editar Área de texto e mídia: label494 | MundoAgents Freemium | Classplay,/course/modedit.php,1,1,15,5
Editar Área de texto e mídia: label495 | MundoAgents Freemium | Classplay,/course/modedit.php,1,1,122,5
Editar Área de texto e mídia: label496 | MundoAgents Freemium | Classplay,/course/modedit.php,1,1,78,5
Editar Área de texto e mídia: label519 | OPMKT-FREE | Classplay,/course/modedit.php,1,1,116,5
Editar Área de texto e mídia: label520 | OPMKT-FREE | Classplay,/course/modedit.php,1,1,1,4
Emblemas | Classplay,/badges/index.php,1,1,2,3
Engajamento e Cultura Organizacional,/turmas-templo/controle-templo/automao-para-rh/prompts-para-recursos-humanos/engajamento-e-cultura-organizacional,1,1,18,2
Equipes,/turmas-templo/controle-templo/wow-templo/controle/estratgia-2025/okrs-por-equipe,1,1,22,1
Erro | Classplay,/admin/oauth2callback.php,1,1,3,5
Erro | Classplay,/course/modedit.php,1,1,7,5
Erro | Classplay,/iplookup/index.php,1,1,2,3
Erro | Classplay,/mod/aiagents/index.php,1,1,2,4
Erro | Classplay,/mod/aiprompts/resource.php,1,1,0,4
Erro | Classplay,/mod/aitools/index.php,1,1,4,3
Erro | Classplay,/mod/resource/view.php,1,1,4,3
Excluir AGENTS-FREE ? | Classplay,/course/delete.php,1,1,1,3
Excluir IAG-MKT-FREE ? | Classplay,/course/delete.php,1,1,0,3
Excluir MINI-BRANDING.FREE_1 ? | Classplay,/course/delete.php,1,1,0,4
Excluir TEMPLO2FR.0125T1 ? | Classplay,/course/delete.php,1,1,1,3
Excluir TEMPLOFRE.0125T1 ? | Classplay,/course/delete.php,1,1,1,3
Gerador de Descrição de Vaga Atrativa e Inclusiva,/turmas-templo/controle-templo/automao-para-rh/prompts-para-recursos-humanos/atrao-e-recrutamento-de-talento/gerador-de-descrio-de-vaga-atrativa-e-inclusiva,1,1,6,1
Gerenciar arquivos | Classplay,/lib/editor/tiny/plugins/media/manage.php,1,1,0,2
Gerenciar blocos | Blocos | Plugins | Administração | Classplay,/admin/blocks.php,1,1,19,4
Gerenciar tags | Aparência | Administração | Classplay,/tag/manage.php,1,1,1,3
HTML | Blocos | Plugins | Administração | Classplay,/admin/settings.php,1,1,2,3
IAG-MKTDigital. Freemium: Participantes | Classplay,/user/index.php,1,1,2,3
IAG-MKTDigital: eBook: ChatGPT + Inteligência Artificial Generativa | Classplay,/mod/resource/view.php,1,1,28,2
Imagem & Vídeo,/conteudo/cursos/mini-cursos-tematicos/imagem-vdeo,1,1,31,1
Informação sobre a versão atual | Classplay,/admin/index.php,1,1,1,4
Interview Pro,/turmas-templo/controle-templo/automao-para-rh/lista-de-agentes-gpt-avanados/lista-de-agentes-gpt-avanados/interview-pro,1,1,2,2
IntroIAG | Classplay,/course/completion.php,1,1,9,3
IntroIAG: Slides: O Ecossistema da OpenAI | Classplay,/mod/resource/view.php,1,1,16,3
Isabele dos Santos Mendes Pedrozo: Perfil público | Classplay,/user/profile.php,1,1,17,4
Jose Carlos Mauricio da Rocha Filho: Perfil público | Classplay,/user/profile.php,1,1,0,2
Julia Bessler: Perfil público | Classplay,/user/profile.php,1,1,6,3
LLMS: Modelos de IA | Classplay,/mod/url/view.php,1,1,15,4
Lista de eventos | Relatórios | Administração | Classplay,/report/eventlist/index.php,1,1,16,3
Logs: Página 2 | Classplay,/report/log/index.php,1,1,13,3
Luiza Abreu Lacerda: Perfil público | Classplay,/user/profile.php,1,1,7,3
MINI-BASICOMKT-FREE: Participantes | Classplay,/user/index.php,1,1,12,3
"MINI-BASICOMKT: Playlist: Introdução à IA generativa, casos de uso no marketing, ferramentas de texto e engenharia de prompts. | Classplay",/mod/resource/view.php,1,1,12,2
MINI-DADOS: Da preparação de dados até os Insights | Classplay,/mod/resource/view.php,1,1,1,2
MINI-DADOS: Técnicas Avançadas de Análise de Dados com ChatGPT | Classplay,/mod/resource/view.php,1,1,0,1
MINI-IMAGEMVIDEO | Classplay,/enrol/index.php,1,1,2,3
MINI-IMAGEMVIDEO: Slides: Imagens Generativas de IA | Classplay,/mod/resource/view.php,1,1,6,3
MINI-IMAGEMVIDEO: Slides: Material sobre versionamento de conteúdo com Canva. | Classplay,/mod/resource/view.php,1,1,0,3
Marcello Andrade: Blog | Classplay,/blog/index.php,1,1,1,3
Marcello Andrade: Perfil público | Classplay,/user/profile.php,1,1,7,6
Mariana Caldas: Perfil público | Classplay,/user/profile.php,1,1,5,3
Moodle Docs | Aparência | Administração | Classplay,/admin/settings.php,1,1,4,3
MundoAgents : Criando seu Assistente IA - Parte 1 | Classplay,/mod/resource/view.php,1,1,5,2
MundoAgents : O Ecossistema de Agents da OpenAI | Classplay,/mod/resource/view.php,1,1,7,3
MundoAgents : Participantes | Classplay,/user/index.php,1,1,2,2
MundoAgents Freemium: O Ecossistema de Agents da OpenAI | Classplay,/mod/resource/view.php,1,1,4,3
MundoAgents Freemium: Participantes | Classplay,/user/index.php,1,1,2,3
MundoAgents | Classplay,/enrol/index.php,1,1,1,3
MÓDULO 1 - Fundamentos e Engenharia de Prompts,/M-DULO-1-Fundamentos-e-Engenharia-de-Prompts-1cb5c644545481a68d82f0630e86e4d1,1,1,1,1
MÓDULO 1 - Fundamentos e Impactos da IA Generativa no Direito,/turmas-templo/controle-templo/turma-dannemann-ia-law/mdulo-1-fundamentos-e-impactos-da-ia-generativa-no-direito,1,1,7,2
MÓDULO 2 - Toolbox Generativo,/M-DULO-2-Toolbox-Generativo-1cb5c644545481088542ccb0ebd2d4ea,1,1,7,1
MÓDULO 2 - Toolbox Generativo,/turmas-templo/controle-templo/turma-jbs-ia-mkt/mdulo-2-toolbox-generativo,1,1,4,1
MÓDULO 2 - Toolbox Generativo,/turmas-templo/turma-iamkt1124-ab/mdulo-2-toolbox-generativo,1,1,5.5,3
MÓDULO 2 - Técnicas e Ferramentas de IA Generativa para Advocacia,/turmas-templo/controle-templo/turma-dannemann-ia-law/mdulo-2-tcnicas-e-ferramentas-de-ia-generativa-para-advocacia,1,1,7,1
MÓDULO 3 - Agentes Inteligentes e Workflows Automatizados,/turmas-templo/controle-templo/turma-vibra-ia-marketing/mdulo-3-agentes-inteligentes-e-workflows-automatizados,1,1,24,2
MÓDULO 3 - Agentes de IA,/M-DULO-3-Agentes-de-IA-1cb5c6445454811c8b4dd581266c576a,1,1,1,1
MÓDULO 3 - IA Generativa e Automação de Fluxos Jurídicos,/turmas-templo/controle-templo/turma-dannemann-ia-law/mdulo-3-ia-generativa-e-automao-de-fluxos-jurdicos,1,1,12,1
MÓDULO 4 - Generative Mkt in Action,/M-DULO-4-Generative-Mkt-in-Action-1cb5c64454548187afbff5818879d9a3,1,1,46,2
MÓDULO 4 - Generative Mkt in Action,/turmas-templo/controle-templo/turma-jbs-ia-mkt/mdulo-4-generative-mkt-in-action,1,1,20,2
Módulo 1: Introdução à IA Generativa,/turmas-templo/controle-templo/turma-brasas-iaedu/mdulo-1-introduo-ia-generativa,1,1,4,1
Naiara Botelho Jardim: Perfil público | Classplay,/user/profile.php,1,1,1,3
Novo Arquivo | BRASASJOR.0925T1 | Classplay,/course/modedit.php,1,1,51,6
